Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,14.1883,14.3518,13.6325,13.9562,13.9562,930300
2019-07-22,14.1916,14.4923,13.5018,14.1229,14.1229,613000
2019-07-23,14.038,14.038,13.5345,13.9268,13.9268,566300
2019-07-24,13.8778,14.136,13.6326,14.002,14.002,519700
2019-07-25,14.0249,14.0576,13.7241,13.8941,13.8941,401200
2019-07-26,13.9823,14.0575,13.6652,13.7306,13.7306,946200
2019-07-29,13.7306,13.8222,13.1683,13.1912,13.1912,1898100
2019-07-30,16.0191,16.0191,15.1004,15.496,15.496,2756200
2019-07-31,15.5712,18.046,15.5712,16.5422,16.5422,2499200
2019-08-01,17.817,18.569,17.4084,17.9805,17.9805,2696200
2019-08-02,18.1572,18.9614,17.0489,17.7191,17.7191,2054200
2019-08-05,17.2287,17.4739,16.9344,17.0979,17.0979,734100
2019-08-06,17.3496,17.6471,16.9344,17.1469,17.1469,945400
2019-08-07,17.2287,17.6373,16.8069,17.6373,17.6373,1042100
2019-08-08,17.5883,19.0561,17.5,18.6344,18.6344,1561400
2019-08-09,18.9614,19.7787,18.8044,19.6152,19.6152,2157500
2019-08-12,19.6152,20.6875,19.5498,19.9094,19.9094,2447200
2019-08-13,20.2722,21.6976,19.8244,21.6976,21.6976,2673000
2019-08-14,21.7663,23.6036,21.4296,23.1459,23.1459,1847300
2019-08-15,23.5218,24.192,19.4516,20.4324,20.4324,2226600
2019-08-16,21.2498,21.5767,16.7023,19.5171,19.5171,3259900
2019-08-19,19.9714,20.2526,17.7713,17.9805,17.9805,1454300
2019-08-20,17.9805,19.7426,16.5454,18.9613,18.9613,1861800
2019-08-21,19.1215,20.3082,18.9319,20.269,20.269,870200
2019-08-22,20.5959,20.8901,19.3797,20.2657,20.2657,712500
2019-08-23,19.7101,20.5633,19.2229,19.3864,19.3864,707300
2019-08-26,20.0238,20.0238,18.9875,19.0921,19.0921,451500
2019-08-27,19.0921,19.6773,18.3467,19.6773,19.6773,320900
2019-08-28,19.4844,20.2658,19.1248,20.0696,20.0696,1624300
2019-08-29,20.2363,20.5469,19.8865,20.0075,20.0075,2494400
2019-08-30,20.1775,20.4684,19.9192,19.9813,19.9813,1061700
2019-09-02,19.9846,20.0108,19.6087,20.0075,20.0075,678300
2019-09-03,19.8767,20.1808,19.5792,19.6152,19.6152,497600
2019-09-04,19.893,19.893,19.3144,19.3634,19.3634,255000
2019-09-05,19.4223,19.6544,19.4223,19.5825,19.5825,352400
2019-09-06,19.4811,19.6609,18.8338,19.1836,19.1836,547300
2019-09-09,19.1902,19.1934,17.6046,17.8171,17.8171,1290300
2019-09-10,17.8007,17.8007,16.7023,17.1469,17.1469,1968600
2019-09-11,17.4183,18.1931,17.3071,18.1931,18.1931,402300
2019-09-12,18.4022,18.5984,18.0165,18.5984,18.5984,814900
2019-09-13,18.5625,18.9613,18.2094,18.9613,18.9613,634700
2019-09-16,19.5793,19.7885,18.8829,19.2883,19.2883,1034700
2019-09-17,19.1575,19.2752,18.7782,19.0594,19.0594,489300
2019-09-18,19.043,19.5661,18.8567,19.5661,19.5661,373400
